pLV,pLA,pSA,pSV,VLV,VLA,Qav,Qmv,Qs,Qsv
33.128986642568094,6.5109838723895646,100.0,5.69270894774507,400.0,20.0,-0.0,-0.0,0.0,0.0
34.264073502924724,0.5521688304060661,99.9872434022652,5.501211814240885,400.0,9.149500057116379,-0.0,-0.0,9.170235006062542,66.11983958876438
37.66380283564906,0.5706142732783469,99.8958690917198,5.277075743531812,400.0,9.12618363733023,-0.0,-0.0,31.894508296489082,66.11886134107266
43.311607849331416,0.6031342626852889,99.7096473574574,5.029959633842519,400.0,9.113181968270132,-0.0,-0.0,48.24272424704686,65.99785395065211
51.179966939036035,0.6387745122145742,99.48654788267496,4.770251098738397,400.0,9.090781200384578,-0.0,-0.0,47.871428020646576,65.90797052227934
61.23053779835631,0.6766437443316384,99.29592526820676,4.508560513613411,400.0,9.058440574001395,-0.0,-0.0,35.6315401011085,65.80596915307052
73.41434426046278,0.716231261697629,99.16420819378258,4.2552379679175285,400.0,9.017501274315805,-0.0,-0.0,23.788405588243386,65.67020804139806
87.67201495767354,0.7571787388796433,99.06727448522894,4.019937586403582,400.0,8.972959561044979,-0.0,-0.0,20.920530453354477,65.51099324380586
103.33059926647203,0.7984792549872807,100.53726434441431,3.811230109060475,397.66077579076733,8.934121617936775,1671.3272935178568,-0.0,46.68683761456759,65.35551043974355
116.80841043288348,0.8386035914887494,109.61983475075054,3.636263317840128,382.4982680210336,8.918901385841197,2681.1519319376393,-0.0,596.9893644009164,65.65762012916821
128.91277900499676,0.8754406890256026,118.17112870131378,3.5004748449361145,362.594124021276,8.955428963388497,3277.4456980525224,-0.0,1605.2809468330174,68.00266092700994
139.01046644251062,0.9073588393848264,124.83949007453619,3.4073654078017475,339.02081640035004,9.07866599782393,3764.4357303551396,-0.0,2435.049314044904,73.05269768685532
146.66133737327638,0.9353446489741581,130.65139715343813,3.3583363025546333,312.9585382888646,9.31376267653817,4001.2423345553884,-0.0,2704.828141615173,79.88621410853716
