pLV,pLA,pSA,pSV,VLV,VLA,Qav,Qmv,Qs,Qsv
49.76381102548927,8.314353337843045,100.0,5.69270894774507,400.0,20.0,-0.0,-0.0,0.0,0.0
50.47668532211706,0.5360676624637968,99.99025718867108,5.465484299406935,400.0,9.332707115823688,-0.0,-0.0,11.971030867430215,96.41088875609472
52.61183439434693,0.561684171600775,99.91211102521645,5.209381696374462,400.0,9.318763046665055,-0.0,-0.0,46.82032782801459,97.87795965264755
56.15885371703984,0.5946434096170072,99.73550420433776,4.934788368395562,400.0,9.299574544058759,-0.0,-0.0,79.30426077186108,97.71198602655821
61.10045875854814,0.6310453124593592,99.49637777526286,4.6523825107311465,400.0,9.268941291236066,-0.0,-0.0,90.64242560426136,97.62563590652842
67.41256920778262,0.6699831314287283,99.25821069856156,4.372635095893595,400.0,9.223988801040987,-0.0,-0.0,79.86200828152938,97.5618746212092
75.06442631693332,0.7114059823675536,99.06647829144217,4.105369392382775,400.0,9.162949295527813,-0.0,-0.0,59.47448727637901,97.44333659387262
84.0187427880372,0.755437217665293,98.92647815524792,3.8593946048316807,400.0,9.085851160468096,-0.0,-0.0,44.259227318657814,97.24696376194237
94.23188447299768,0.8012960950232448,98.81131167971502,3.6422039264071095,400.0,8.994951487553589,-0.0,-0.0,41.80643699848239,97.00313115040771
104.99110948486903,0.8474501037937564,99.71576771877298,3.459726544376256,397.4723735032233,8.903035691780822,918.7244867616013,-0.0,75.55518536584972,96.76956830084823
115.1486323865997,0.8902321205481869,102.53373735442705,3.3161275894805327,389.5134292107785,8.841765991897367,1420.6981400521452,-0.0,294.1863274206601,96.8662435503105
124.96391607322914,0.9241824720479634,105.63838304702972,3.213658000739495,378.8654607089467,8.871980686560153,1758.4326214535229,-0.0,648.4582780372727,98.02131946614972
134.26324017948184,0.9462525512029649,108.60057602835387,3.1525636177194105,366.2160736055558,9.071320564473522,2026.3332066026248,-0.0,970.939755362242,100.60414000070678
142.82823830975508,0.9682008361456265,111.52758040372433,3.112130290822174,351.9690841412469,9.4505556970711,2237.879635942228,-0.0,1142.1495025592158,104.34211537630995
150.47316377314175,0.9952951038629828,114.7174824132497,3.0725914351303634,336.50255060937644,9.91870608956277,2391.8421807432715,-0.0,1152.6619481539656,108.59158826100818
157.06851463180553,1.0250433397462102,118.36124640973138,3.0339418133440845,320.20185955254243,10.432713275508831,2488.60662129069,-0.0,1078.181212348152,112.76870363443396
162.53908153368877,1.0567126262745747,122.41104026093514,2.9961760950023084,303.43215082700857,10.979913483052643,2533.867913613609,-0.0,1010.8409497424395,116.62520611616783
166.85107906912737,1.090096167250544,126.63533438665687,2.9592883891519635,286.507585265838,11.55673356816054,2536.6353993420657,-0.0,1000.9003417970154,120.24963476269821
170.0017172959841,1.1251361093896803,130.7709094653472,2.923272414108742,269.68193146621593,12.16217390839951,2505.380061567886,-0.0,1040.353669772156,123.8751856167239
172.01954066924375,1.1618087972748996,134.65228799035756,2.8881219776229345,253.16290756332992,12.795825771822708,2445.1503897760135,-0.0,1085.7999232734337,127.66222020302261
172.9749151622916,1.2000894880075674,138.24749950440966,2.853831303643287,237.13777138795822,13.457261636349521,2357.1988684158814,-0.0,1095.3565949069493,131.5870813686318
